"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor","Solar"
2026-03-11 21:00:00,-795 Wh,0 Wh,-3.46 kWh,-579 Wh,-5.45 kWh,8.05 kWh
2026-03-11 21:10:00,-796 Wh,0 Wh,-3.47 kWh,-580 Wh,-5.46 kWh,8.05 kWh
2026-03-11 21:20:00,-798 Wh,0 Wh,-3.47 kWh,-580 Wh,-5.47 kWh,8.05 kWh
2026-03-11 21:30:00,-799 Wh,0 Wh,-3.47 kWh,-581 Wh,-5.48 kWh,8.05 kWh
2026-03-11 21:40:00,-800 Wh,0 Wh,-3.47 kWh,-582 Wh,-5.49 kWh,8.06 kWh
2026-03-11 21:50:00,-801 Wh,0 Wh,-3.48 kWh,-583 Wh,-5.50 kWh,8.06 kWh
2026-03-11 22:00:00,-802 Wh,0 Wh,-3.48 kWh,-583 Wh,-5.51 kWh,8.06 kWh
2026-03-11 22:10:00,-803 Wh,0 Wh,-3.49 kWh,-584 Wh,-5.52 kWh,8.06 kWh
2026-03-11 22:20:00,-804 Wh,0 Wh,-3.49 kWh,-585 Wh,-5.53 kWh,8.06 kWh
2026-03-11 22:30:00,-805 Wh,0 Wh,-3.50 kWh,-585 Wh,-5.54 kWh,8.07 kWh
2026-03-11 22:40:00,-807 Wh,0 Wh,-3.50 kWh,-586 Wh,-5.55 kWh,8.07 kWh
2026-03-11 22:50:00,-808 Wh,0 Wh,-3.51 kWh,-587 Wh,-5.56 kWh,8.07 kWh
2026-03-11 23:00:00,-809 Wh,0 Wh,-3.51 kWh,-588 Wh,-5.57 kWh,8.07 kWh
2026-03-11 23:10:00,-810 Wh,0 Wh,-3.51 kWh,-588 Wh,-5.58 kWh,8.07 kWh
2026-03-11 23:20:00,-811 Wh,0 Wh,-3.52 kWh,-589 Wh,-5.59 kWh,8.07 kWh
2026-03-11 23:30:00,-812 Wh,0 Wh,-3.52 kWh,-590 Wh,-5.60 kWh,8.08 kWh
2026-03-11 23:40:00,-813 Wh,0 Wh,-3.53 kWh,-590 Wh,-5.61 kWh,8.08 kWh
2026-03-11 23:50:00,-814 Wh,0 Wh,-3.53 kWh,-591 Wh,-5.62 kWh,8.08 kWh
2026-03-12 00:00:00,-815 Wh,0 Wh,-3.54 kWh,-592 Wh,-5.63 kWh,8.08 kWh
2026-03-12 00:10:00,-816 Wh,0 Wh,-3.54 kWh,-593 Wh,-5.64 kWh,8.08 kWh
2026-03-12 00:20:00,-817 Wh,0 Wh,-3.55 kWh,-593 Wh,-5.65 kWh,8.09 kWh
2026-03-12 00:30:00,-819 Wh,0 Wh,-3.55 kWh,-594 Wh,-5.66 kWh,8.09 kWh
2026-03-12 00:40:00,-820 Wh,0 Wh,-3.56 kWh,-595 Wh,-5.67 kWh,8.09 kWh
2026-03-12 00:50:00,-821 Wh,0 Wh,-3.56 kWh,-595 Wh,-5.68 kWh,8.09 kWh
2026-03-12 01:00:00,-822 Wh,0 Wh,-3.57 kWh,-596 Wh,-5.69 kWh,8.09 kWh
2026-03-12 01:10:00,-823 Wh,0 Wh,-3.57 kWh,-597 Wh,-5.70 kWh,8.10 kWh
2026-03-12 01:20:00,-824 Wh,0 Wh,-3.57 kWh,-598 Wh,-5.70 kWh,8.10 kWh
2026-03-12 01:30:00,-825 Wh,0 Wh,-3.58 kWh,-598 Wh,-5.71 kWh,8.10 kWh
2026-03-12 01:40:00,-826 Wh,0 Wh,-3.58 kWh,-599 Wh,-5.72 kWh,8.10 kWh
2026-03-12 01:50:00,-827 Wh,0 Wh,-3.59 kWh,-600 Wh,-5.72 kWh,8.10 kWh
2026-03-12 02:00:00,-828 Wh,0 Wh,-3.59 kWh,-600 Wh,-5.73 kWh,8.10 kWh
2026-03-12 02:10:00,-829 Wh,0 Wh,-3.60 kWh,-601 Wh,-5.73 kWh,8.11 kWh
2026-03-12 02:20:00,-830 Wh,0 Wh,-3.60 kWh,-602 Wh,-5.73 kWh,8.11 kWh
2026-03-12 02:30:00,-831 Wh,0 Wh,-3.61 kWh,-603 Wh,-5.73 kWh,8.11 kWh
2026-03-12 02:40:00,-832 Wh,0 Wh,-3.61 kWh,-603 Wh,-5.73 kWh,8.11 kWh
2026-03-12 02:50:00,-832 Wh,0 Wh,-3.62 kWh,-604 Wh,-5.73 kWh,8.11 kWh
2026-03-12 03:00:00,-833 Wh,0 Wh,-3.62 kWh,-605 Wh,-5.73 kWh,8.12 kWh
2026-03-12 03:10:00,-834 Wh,0 Wh,-3.63 kWh,-605 Wh,-5.73 kWh,8.12 kWh
2026-03-12 03:20:00,-834 Wh,0 Wh,-3.63 kWh,-606 Wh,-5.73 kWh,8.12 kWh
2026-03-12 03:30:00,-835 Wh,0 Wh,-3.63 kWh,-607 Wh,-5.73 kWh,8.12 kWh
2026-03-12 03:40:00,-836 Wh,0 Wh,-3.64 kWh,-608 Wh,-5.73 kWh,8.12 kWh
2026-03-12 03:50:00,-836 Wh,0 Wh,-3.64 kWh,-608 Wh,-5.73 kWh,8.12 kWh
2026-03-12 04:00:00,-837 Wh,0 Wh,-3.65 kWh,-609 Wh,-5.74 kWh,8.13 kWh
2026-03-12 04:10:00,-838 Wh,0 Wh,-3.65 kWh,-610 Wh,-5.74 kWh,8.13 kWh
2026-03-12 04:20:00,-839 Wh,0 Wh,-3.66 kWh,-610 Wh,-5.75 kWh,8.13 kWh
2026-03-12 04:30:00,-840 Wh,0 Wh,-3.66 kWh,-611 Wh,-5.76 kWh,8.13 kWh
2026-03-12 04:40:00,-841 Wh,0 Wh,-3.67 kWh,-612 Wh,-5.76 kWh,8.13 kWh
2026-03-12 04:50:00,-843 Wh,0 Wh,-3.67 kWh,-613 Wh,-5.77 kWh,8.14 kWh
2026-03-12 05:00:00,-844 Wh,0 Wh,-3.68 kWh,-613 Wh,-5.78 kWh,8.14 kWh
2026-03-12 05:10:00,-845 Wh,0 Wh,-3.68 kWh,-614 Wh,-5.78 kWh,8.14 kWh
2026-03-12 05:20:00,-846 Wh,0 Wh,-3.68 kWh,-615 Wh,-5.79 kWh,8.14 kWh
2026-03-12 05:30:00,-847 Wh,0 Wh,-3.69 kWh,-615 Wh,-5.80 kWh,8.14 kWh
2026-03-12 05:40:00,-848 Wh,0 Wh,-3.69 kWh,-616 Wh,-5.80 kWh,8.14 kWh
2026-03-12 05:50:00,-849 Wh,0 Wh,-3.70 kWh,-617 Wh,-5.81 kWh,8.15 kWh
2026-03-12 06:00:00,-850 Wh,0 Wh,-3.70 kWh,-618 Wh,-5.82 kWh,8.15 kWh
2026-03-12 06:10:00,-851 Wh,0 Wh,-3.71 kWh,-618 Wh,-5.82 kWh,8.15 kWh
2026-03-12 06:20:00,-852 Wh,0 Wh,-3.71 kWh,-619 Wh,-5.83 kWh,8.15 kWh
2026-03-12 06:30:00,-854 Wh,0 Wh,-3.72 kWh,-620 Wh,-5.84 kWh,8.15 kWh
2026-03-12 06:40:00,-855 Wh,0 Wh,-3.72 kWh,-621 Wh,-5.84 kWh,8.16 kWh
2026-03-12 06:50:00,-856 Wh,0 Wh,-3.73 kWh,-621 Wh,-5.85 kWh,8.16 kWh
2026-03-12 07:00:00,-857 Wh,0 Wh,-3.73 kWh,-622 Wh,-5.86 kWh,8.16 kWh
2026-03-12 07:10:00,-857 Wh,0 Wh,-3.73 kWh,-623 Wh,-5.86 kWh,8.16 kWh
